1453645310130,1453645310381,1453645311627,125,-1371
1453645311130,1453645311273,1453645312512,71,-1340
1453645312131,1453645312244,1453645313490,56,-1327
1453645309128,1453645312248,1453645313495,1560,-1697
1453645313131,1453645313345,1453645314591,107,-1628
1453645314132,1453645314545,1453645315661,206,-1577
1453645315132,1453645315247,1453645316490,57,-1537
1453645316133,1453645316222,1453645317470,44,-1506
1453645317133,1453645318251,1453645319494,559,-1538
1453645318134,1453645318252,1453645319495,59,-1514
1453645319134,1453645319243,1453645320488,54,-1494
