1453645309135,1453645310334,1453645310310,599,-575
1453645310135,1453645310550,1453645310668,207,-450
1453645311136,1453645311545,1453645311570,204,-376
1453645312136,1453645312669,1453645312574,266,-324
1453645313136,1453645313678,1453645313478,271,-273
1453645314136,1453645314691,1453645314481,277,-238
1453645315137,1453645315632,1453645315484,247,-218
1453645316137,1453645316674,1453645316587,268,-213
1453645317137,1453645317790,1453645317589,326,-203
1453645318137,1453645318585,1453645318492,224,-195
1453645319137,1453645319594,1453645319495,228,-189
